step,train_loss,train_mean_token_accuracy,valid_loss,valid_mean_token_accuracy
41,0.6664918065071106,0.8181818127632141,0.8765684818399364,0.3275862068965517
42,0.6765391230583191,0.8936170339584351,-1,-1
43,0.4426743686199188,0.9016393423080444,-1,-1
44,0.5208225250244141,0.8392857313156128,-1,-1
45,0.5099813938140869,0.849056601524353,0.7221585877087652,0.5714285714285714
46,0.4087691605091095,0.8235294222831726,-1,-1
47,0.6656176447868347,0.8163265585899353,-1,-1
48,0.7348570823669434,0.8125,-1,-1
49,0.8244285583496094,0.7291666865348816,0.8205417251586914,0.34
50,0.4249003827571869,0.8392857313156128,-1,-1
51,0.7936607599258423,0.7368420958518982,-1,-1
52,0.31898850202560425,0.9111111164093018,-1,-1
53,0.7994940280914307,0.7777777910232544,0.6941712080542721,0.5522388059701493
54,0.7320927977561951,0.8181818127632141,-1,-1
55,0.8081808686256409,0.7931034564971924,-1,-1
56,0.7294519543647766,0.7755101919174194,-1,-1
57,0.6590337753295898,0.7560975551605225,0.6895476558752227,0.40350877192982454
58,0.7960872054100037,0.7200000286102295,-1,-1
59,0.4876861274242401,0.9333333373069763,-1,-1
60,1.1576414108276367,0.6984127163887024,-1,-1
61,0.6518497467041016,0.782608687877655,1.1276541058979337,0.4603174603174603
62,0.5501278638839722,0.8113207817077637,-1,-1
63,0.40032699704170227,0.7916666865348816,-1,-1
64,0.576860249042511,0.8409090638160706,-1,-1
65,0.5150482654571533,0.8367347121238708,0.7241932245401236,0.5769230769230769
66,0.5457105040550232,0.843137264251709,-1,-1
67,0.4357495903968811,0.8723404407501221,-1,-1
68,0.46130242943763733,0.8163265585899353,-1,-1
69,0.5196479558944702,0.8888888955116272,0.564839155777641,0.6086956521739131
70,0.617726743221283,0.8125,-1,-1
71,0.40060627460479736,0.8867924809455872,-1,-1
72,0.7713496685028076,0.7749999761581421,-1,-1
73,0.3764879107475281,0.8928571343421936,0.5839300155639648,0.5632183908045977
74,0.46706637740135193,0.875,-1,-1
75,0.5061145424842834,0.8863636255264282,-1,-1
76,0.4842347502708435,0.8695651888847351,-1,-1
77,0.5737348794937134,0.7894737124443054,0.7304367184638977,0.45
78,0.42877888679504395,0.8545454740524292,-1,-1
79,0.6650777459144592,0.8181818127632141,-1,-1
80,0.47076183557510376,0.8292682766914368,-1,-1
81,0.2660731077194214,0.9200000166893005,0.6230614267546555,0.3275862068965517
82,0.30083557963371277,0.9591836929321289,-1,-1
83,0.3129000663757324,0.9545454382896423,-1,-1
84,0.5388684868812561,0.8409090638160706,-1,-1
85,0.5161802768707275,0.8478260636329651,0.5917605964504943,0.6122448979591837
86,0.5550102591514587,0.8611111044883728,-1,-1
87,0.6388453245162964,0.8148148059844971,-1,-1
88,0.5045450329780579,0.8292682766914368,-1,-1
89,0.6418165564537048,0.7777777910232544,0.6454973983764648,0.38
90,0.5492552518844604,0.8367347121238708,-1,-1
91,0.3140305280685425,0.868852436542511,-1,-1
92,0.23052003979682922,0.9111111164093018,-1,-1
93,1.0505187511444092,0.7142857313156128,0.6564650037395421,0.5522388059701493
94,0.4905649423599243,0.8936170339584351,-1,-1
95,0.4259372353553772,0.8301886916160583,-1,-1
96,0.38583552837371826,0.8775510191917419,-1,-1
97,0.44991591572761536,0.8536585569381714,0.5109133971364874,0.40350877192982454
98,0.43671733140945435,0.8372092843055725,-1,-1
99,0.43079128861427307,0.8510638475418091,-1,-1
100,0.6521695852279663,0.7761194109916687,-1,-1
101,0.24822604656219482,0.9215686321258545,0.9987532297770182,0.49206349206349204
102,0.6476514339447021,0.8275862336158752,-1,-1
103,0.5724659562110901,0.795918345451355,-1,-1
104,0.25985509157180786,0.9111111164093018,-1,-1
105,0.6531864404678345,0.800000011920929,0.7111140031080979,0.5961538461538461
106,0.5572145581245422,0.8275862336158752,-1,-1
107,0.5098918676376343,0.8541666865348816,-1,-1
108,0.3434198498725891,0.9111111164093018,-1,-1
109,0.42125582695007324,0.8139534592628479,0.4516267361848251,0.6304347826086957
110,0.28334951400756836,0.875,-1,-1
111,0.9460077285766602,0.7692307829856873,-1,-1
112,0.31892359256744385,0.8723404407501221,-1,-1
113,0.35336318612098694,0.9016393423080444,0.5373181639046505,0.5747126436781609
114,0.3508830964565277,0.8928571343421936,-1,-1
115,0.40351516008377075,0.8571428656578064,-1,-1
116,0.3821869194507599,0.8947368264198303,-1,-1
117,0.3677794933319092,0.8999999761581421,0.6822113394737244,0.45
118,0.3235383927822113,0.9074074029922485,-1,-1
119,0.39031463861465454,0.9069767594337463,-1,-1
120,0.7996966242790222,0.8125,-1,-1
121,0.5291227698326111,0.8727272748947144,0.6141176059328276,0.3275862068965517
122,0.29626867175102234,0.9305555820465088,-1,-1
123,0.711894690990448,0.8461538553237915,-1,-1
124,0.35980162024497986,0.9122806787490845,-1,-1
125,0.29257622361183167,0.8571428656578064,0.5377309371014031,0.6122448979591837
126,0.681194007396698,0.7906976938247681,-1,-1
